[INICIO] Limpeza Lote 1
[INFO] Total: 1203, Processando: 10
[1/10] teste_fluxo_p1_002b660c... OK (0 docs)
[2/10] teste_fluxo_p1_009ccb84... OK (0 docs)
[3/10] teste_fluxo_p1_00c8d749... OK (0 docs)
[4/10] teste_fluxo_p1_00c9475d... OK (0 docs)
[5/10] teste_fluxo_p1_00dba75e... OK (0 docs)
[6/10] teste_fluxo_p1_012bd391... OK (0 docs)
[7/10] teste_fluxo_p1_0193afc0... OK (0 docs)
[8/10] teste_fluxo_p1_01dbe7de... OK (0 docs)
[9/10] teste_fluxo_p1_01e37c6d... OK (0 docs)
[10/10] teste_fluxo_p1_01ff51b7... OK (0 docs)
[CONCLUIDO] 10 tenants, 0 documentos
